idiom,language,frequency,source_idiom,source_language
kaste seg på karusellen,nno,560.0,kaste seg på karusellen,nob
kaste seg på sjøen,nno,381.0,kaste seg på sjøen,nob
"kommer tid, kommer råd",nob,6221.0,"kjem tid, kjem råd",nno
kjempe mann mot mann,nno,693.0,kjempe mann mot mann,nob
kjempe mot naturkreftene,nno,534.0,kjempe mot naturkreftene,nob
kjempe mot overmakta,nno,166.0,kjempe mot overmakten,nob
kjempe mot vindmøller,nno,1110.0,kjempe mot vindmøller,nob
kjempe skulder ved skulder,nno,1163.0,kjempe skulder ved skulder,nob
kjenne lusa på gangen,nno,716.0,kjenne lusa på gangen,nob
kjenne si besøkstid,nno,580.0,kjenne sin besøkelsestid,nob
kjerringa mot straumen,nno,3290.0,kjerringa mot strømmen,nob
kjerringråd skal ingen forsmå,nob,103.0,kjerringråd skal ingen forsmå,nno
kjærlighet gjør blind,nob,6243.0,kjærleik gjer blind,nno
kjærleik gjer blind,nno,646.0,kjærlighet gjør blind,nob
kjært barn har mange navn,nob,19549.0,kjært barn har mange namn,nno
kjært barn har mange namn,nno,2453.0,kjært barn har mange navn,nob
køyra sitt eige løp,nno,104.0,kjøre sitt eget løp,nob
kjøtt og blod,nno,85582.0,kjøtt og blod,nob
kjøttgrytene i Egypt,nno,432.0,kjøttgrytene i Egypt,nob
klappa til kai,nno,1635.0,klappe til kai,nob
klar som eit egg,nno,178.0,klar som et egg,nob
klare det kunststykket å,nno,114.0,klare det kunststykket å,nob
kle seg i sekk og oske,nno,168.0,kle seg i sekk og aske,nob
klinten frå kveiten,nno,575.0,klinten fra hveten,nob
klokka er fem på tolv,nno,924.0,klokka er fem på tolv,nob
klora til seg,nno,199.0,klore til seg,nob
knask eller knep,nno,4415.0,knask eller knep,nob
kneisa med nakken,nno,107.0,kneise med nakken,nob
kniven på strupen,nno,54958.0,kniven på strupen,nob
knute på tråden,nno,21855.0,knute på tråden,nob
koka bort i kålen,nno,126.0,koke bort i kålen,nob
komma godt med,nno,388.0,komme godt med,nob
komma her og komma her,nno,160.0,komme her og komme her,nob
komma i betraktning,nno,218.0,komme i betraktning,nob
komma på banen,nno,313.0,komme på banen,nob
komma vel med,nno,182.0,komme vel med,nob
"kjem tid, kjem råd",nno,568.0,"kommer tid, kommer råd",nob
kort og godt,nno,515739.0,kort og godt,nob
koste ein formue,nno,104.0,koste en formue,nob
krake søkjer make,nno,127.0,krake søker make,nob
krona på verket,nno,5146.0,kronen på verket,nob
krypa til korset,nno,281.0,krype til korset,nob
kryss i taket,nno,11378.0,kryss i taket,nob
kunne teljast på ei hand,nno,106.0,kunne telles på en hånd,nob
kunne venta seg,nno,1074.0,kunne vente seg,nob
kunnskap er makt,nno,19064.0,kunnskap er makt,nob
"kunsten er lang, og livet er kort",nob,113.0,"kunsten er lang, og livet er kort",nno
hver fugl synger med sitt nebb,nob,724.0,kvar fugl syng med sitt nebb,nno
hver ting til sin tid,nob,1594.0,kvar ting til si tid,nno
kysten er klar,nno,5868.0,kysten er klar,nob
la det gå sport i,nno,6455.0,la det gå sport i,nob
la det vera sagt,nno,1852.0,la det være sagt,nob
la humla susa,nno,120.0,la humla suse,nob
la nåde gå for rett,nno,7075.0,la nåde gå for rett,nob
la venta på seg,nno,185.0,la vente på seg,nob
laga ris til eigen bak,nno,325.0,lage ris til egen bak,nob
lang i maska,nno,4956.0,lang i maska,nob
ledig på torget,nno,2299.0,ledig på torget,nob
lediggang er rota til alt vondt,nno,696.0,lediggang er roten til alt ondt,nob
leggja breisida til,nno,103.0,legge bredsiden til,nob
leggja band på seg,nno,348.0,legge bånd på seg,nob
leggja godviljen til,nno,1412.0,legge godviljen til,nob
leggja hendene i fanget,nno,216.0,legge hendene i fanget,nob
leggja inn årene,nno,537.0,legge inn årene,nob
leggja korta på bordet,nno,157.0,legge kortene på bordet,nob
leggja noko til side,nno,122.0,legge noe til side,nob
leggja om kursen,nno,442.0,legge om kursen,nob
leggja seg flat,nno,490.0,legge seg flat,nob
leggja seg i selen,nno,973.0,legge seg i selen,nob
leggja stein på stein,nno,206.0,legge stein på stein,nob
leggja stein til byrda,nno,139.0,legge stein til byrden,nob
leggja vinn på,nno,3008.0,legge vinn på,nob
leke katt og mus,nno,2622.0,leke katt og mus,nob
leke med døden,nno,906.0,leke med døden,nob
lesa mellom linjene,nno,286.0,lese mellom linjene,nob
leita etter ei nål i ein høystakk,nno,100.0,lete etter en nål i en høystakk,nob
leita etter orda,nno,235.0,lete etter ordene,nob
lett på tråden,nno,21821.0,lett på tråden,nob
lette på lokket,nno,1453.0,lette på lokket,nob
lette på sløret,nno,6465.0,lette på sløret,nob
lette på trykket,nno,7233.0,lette på trykket,nob
leva frå hand til munn,nno,189.0,leve fra hånd til munn,nob
leva i håpet,nno,211.0,leve i håpet,nob
leva i sus og dus,nno,140.0,leve i sus og dus,nob
leva over evne,nno,223.0,leve over evne,nob
leva som ein greve,nno,104.0,leve som en greve,nob
liggja lågt i terrenget,nno,196.0,ligge lavt i terrenget,nob
liggja til sengs,nno,291.0,ligge til sengs,nob
ligg i lufta,nno,2383.0,ligger i luften,nob
likna til forveksling,nno,138.0,ligne til forveksling,nob
lik i lasta,nno,1475.0,lik i lasten,nob
like barn leker best,nob,14988.0,like barn leikar best,nno
like barn leikar best,nno,398.0,like barn leker best,nob
like barn leker best,nob,14988.0,like born leikar best,nno
like for like,nno,11737.0,like for like,nob
like om hjørnet,nno,75284.0,like om hjørnet,nob
likskap for lova,nno,1905.0,likhet for loven,nob
liten tue kan velte stort lass,nob,3455.0,lita tue kan velte stort lass,nno
lite eller ingenting,nno,90199.0,lite eller ingenting,nob
litt etter litt,nno,229979.0,litt etter litt,nob
litt på kanten,nno,14258.0,litt på kanten,nob
liv og lemmer,nno,45703.0,liv og lemmer,nob
loddet er kasta,nno,322.0,loddet er kastet,nob
luft under vengene,nno,1612.0,luft under vingene,nob
lufta gjekk ut av ballongen,nno,141.0,luften gikk ut av ballongen,nob
lykken er bedre enn,nob,2240.0,lukka er betre enn,nno
lukka seg inne,nno,283.0,lukke seg inne,nob
lukka med sju segl,nno,233.0,lukket med syv segl,nob
lukte seg fram,nno,3869.0,lukte seg fram,nob
lynet slår ned,nno,8164.0,lynet slår ned,nob
løfte i flokk,nno,28141.0,løfte i flokk,nob
løfte seg sjølv etter håret,nno,106.0,løfte seg selv etter håret,nob
laus kanon på dekk,nno,109.0,løs kanon på dekk,nob
måla fanden på veggen,nno,206.0,male fanden på veggen,nob
malurt i begeret,nno,17619.0,malurt i begeret,nob
ein skal aldri seia aldri,nno,322.0,man skal aldri si aldri,nob
ein skal ikkje tru alt ein høyrer,nno,274.0,man skal ikke tro alt man hører,nob
"ein veit kva ein har, men ikkje kva ein får",nno,297.0,"man vet hva man har, men ikke hva man får",nob
mange ballar i lufta,nno,2701.0,mange baller i luften,nob
mange bekker små gjør en stor å,nob,6371.0,mange bekker små gjer ei stor å,nno
mange jern i elden,nno,2602.0,mange jern i ilden,nob
mange om beinet,nno,33823.0,mange om beinet,nob
mange skjer i sjøen,nno,1595.0,mange skjær i sjøen,nob
mann for sin hatt,nno,6250.0,mann for sin hatt,nob
mann og mus,nno,17698.0,mann og mus,nob
mannen i huset,nno,37527.0,mannen i huset,nob
mannen med hoven,nno,382.0,mannen med hoven,nob
mannen med ljåen,nno,10824.0,mannen med ljåen,nob
mannen på gata,nno,2208.0,mannen på gaten,nob
mannen på golvet,nno,540.0,mannen på gulvet,nob
maten er halve føden,nob,269.0,maten er halve føda,nno
med andre ord,nno,1881322.0,med andre ord,nob
med bind for auga,nno,637.0,med bind for øynene,nob
med blanda kjensler,nno,3310.0,med blandede følelser,nob
med brask og bram,nno,91879.0,med brask og bram,nob
med brei penn,nno,618.0,med bred penn,nob
med berre auga,nno,668.0,med det blotte øye,nob
med eit halvt øre,nno,100.0,med et halvt øre,nob
med eit pennestrøk,nno,2299.0,med et pennestrøk,nob
med eit smil om munnen,nno,2091.0,med et smil om munnen,nob
med fare for liv og lemmer,nno,1687.0,med fare for liv og lemmer,nob
med fasit i hand,nno,401.0,med fasit i hånd,nob
med full musikk,nno,5605.0,med full musikk,nob
med glimt i auget,nno,3160.0,med glimt i øyet,nob
med gråten i halsen,nno,13217.0,med gråten i halsen,nob
med heva hovud,nno,589.0,med hevet hode,nob
med hjartet i halsen,nno,1204.0,med hjertet i halsen,nob
med hovudet under armen,nno,441.0,med hodet under armen,nob
med hud og hår,nno,57691.0,med hud og hår,nob
med hue under armen og armen i bind,nno,315.0,med hue under armen og armen i bind,nob
med kaldt blod,nno,27655.0,med kaldt blod,nob
med livet i hendene,nno,10836.0,med livet i hendene,nob
med lova i hand,nno,1598.0,med loven i hånd,nob
med lua i handa,nno,20105.0,med lua i hånda,nob
med nebb og klør,nno,85280.0,med nebb og klør,nob
med nennsam hand,nno,144.0,med nennsom hånd,nob
med eit nødskrik,nno,573.0,med nød og neppe,nob
med vondt skal vondt fordrivast,nno,106.0,med ondt skal ondt fordrives,nob
med ordet i si makt,nno,239.0,med ordet i sin makt,nob
med rund hand,nno,3568.0,med rund hånd,nob
med ryggen mot veggen,nno,46133.0,med ryggen mot veggen,nob
med skjegget i postkassa,nno,8950.0,med skjegget i postkassa,nob
med skrått blikk,nno,1232.0,med skrått blikk,nob
med venstre hand,nno,14032.0,med venstre hånd,nob
med våpen i hand,nno,11697.0,med våpen i hånd,nob
med opne armar,nno,9884.0,med åpne armer,nob
med opne auge,nno,2671.0,med åpne øyne,nob
med æra i behald,nno,642.0,med æren i behold,nob
mellom borken og veden,nno,1419.0,mellom barken og veden,nob
mellom oss sagt,nno,15982.0,mellom oss sagt,nob
mellom to permar,nno,5892.0,mellom to permer,nob
men kor lenge var Adam i paradis,nno,587.0,men hvor lenge var Adam i paradis,nob
mennesket lever ikkje av brød åleine,nno,452.0,mennesket lever ikke av brød alene,nob
"medan graset gror, døyr kua",nno,361.0,"mens gresset gror, dør kua",nob
meir katolsk enn paven,nno,372.0,mer katolsk enn paven,nob
midt i fleisen,nno,13744.0,midt i fleisen,nob
midt på blanke formiddagen,nno,7225.0,midt på blanke formiddagen,nob
midt på svarte natta,nno,3654.0,midt på svarte natta,nob
midt på svarte vinteren,nno,2860.0,midt på svarte vinteren,nob
midt på treet,nno,83886.0,midt på treet,nob
min forstand står stille,nno,398.0,min forstand står stille,nob
misforstå meg rett,nno,8415.0,misforstå meg rett,nob
miste både munn og mæle,nno,734.0,miste både munn og mæle,nob
mo i knea,nno,1130.0,mo i knærne,nob
morgonstund har gull i munn,nno,919.0,morgenstund har gull i munn,nob
morgenstund har gull i munn,nob,10515.0,morgonstund har gull i munn,nno
mot all sunn fornuft,nno,4213.0,mot all sunn fornuft,nob
mot alle odds,nno,77347.0,mot alle odds,nob
mot betre vitende,nno,246.0,mot bedre vitende,nob
mot sin vilje,nno,142375.0,mot sin vilje,nob
mumle i skjegget,nno,418.0,mumle i skjegget,nob
musa som brølte,nno,635.0,musa som brølte,nob
mykje skrik og lite ull,nno,1292.0,mye skrik og lite ull,nob
mykje står på spel,nno,1706.0,mye står på spill,nob
mykje vil ha meir,nno,1802.0,mye vil ha mer,nob
mye vil ha,nob,12809.0,mykje vil ha,nno
målet er fullt,nno,1395.0,målet er fullt,nob
måtte bita i graset,nno,491.0,måtte bite i gresset,nob
måtte gå frå gard og grunn,nno,319.0,måtte gå fra gård og grunn,nob
måtte til pers,nno,6860.0,måtte til pers,nob
mørkt som i ein sekk,nno,274.0,mørkt som i en sekk,nob
møte seg sjølv i døra,nno,714.0,møte seg selv i døren,nob
nød bryter alle lover,nob,2586.0,naud bryt alle lover,nno
nød lærer naken kvinne å spinne,nob,4799.0,naud lærer naken kvinne å spinne,nno
"nei, er du galen",nno,914.0,"nei, er du gal",nob
"nei, sei det",nno,959.0,"nei, si det",nob
"nei, ærleg talt",nno,170.0,"nei, ærlig talt",nob
ni til fire-liv,nno,218.0,ni til fire-liv,nob
noko for alle,nno,6876.0,noe for enhver smak,nob
noko skjer seg,nno,104.0,noe skjærer seg,nob
noko å bita i,nno,5403.0,noe å bite i,nob
nokon og kvar,nno,1508.0,noen og hver,nob
nok er nok,nno,66075.0,nok er nok,nob
endå om det,nno,14257.0,nok om det,nob
nord for Sinsenkrysset,nno,18501.0,nord for Sinsenkrysset,nob
norsk nordmann frå Noreg,nno,120.0,norsk nordmann fra Norge,nob
null komma niks,nno,6448.0,null komma niks,nob
ny vin på gamle flasker,nno,462.0,ny vin på gamle flasker,nob
nye koster feier best,nob,3688.0,nye kostar feiar best,nno
nye kostar feiar best,nno,266.0,nye koster feier best,nob
no for tida,nno,26863.0,nå for tiden,nob
no og då,nno,21476.0,nå og da,nob
no står ikkje verda til påske,nno,104.0,nå står ikke verden til påske,nob
når det er sagt,nno,174321.0,når det er sagt,nob
når det kjem til stykket,nno,5398.0,når det kommer til stykket,nob
"når det regner på presten, så drypper det på klokkeren",nob,1923.0,"når det regnar på presten, så dryp det på klokkaren",nno
"når det regner på presten, så drypper det på klokkeren",nob,1923.0,"når det regner på presten, så dryp det på klokkaren",nno
"når nøden er størst, er hjelpen nærmest",nob,3528.0,"når nauda er størst, er hjelpa nærast",nno
når røyken har lagt seg,nno,355.0,når røyken har lagt seg,nob
når sant skal seiast,nno,6514.0,når sant skal sies,nob
når sjansen byr seg,nno,7410.0,når sjansen byr seg,nob
når tida er moden,nno,1513.0,når tiden er moden,nob
"når ølet går inn, går vettet ut",nob,705.0,"når ølet går inn, går vitet ut",nno
nærma seg faretruande,nno,111.0,nærme seg faretruende,nob
og dermed basta,nno,19145.0,og dermed basta,nob
om hundre år er allting glemt,nob,3167.0,om hundre år er allting gløymt,nno
om eg så må seia,nno,133.0,om jeg så må si,nob
vondt i sinnet,nno,177.0,ondt i sinnet,nob
opp med hovudet,nno,357.0,opp med hodet,nob
oppe i det blå,nno,5113.0,oppe i det blå,nob
opprette ro og orden,nno,3053.0,opprette ro og orden,nob
ord blir fattige,nno,4894.0,ord blir fattige,nob
ord med brodd,nno,128.0,ord med brodd,nob
ord står mot ord,nno,903.0,ord står mot ord,nob
over heile landet,nno,140468.0,over det ganske land,nob
over ein låg sko,nno,1493.0,over en lav sko,nob
over hals og hovud,nno,475.0,over hals og hode,nob
over skyene er himmelen alltid blå,nno,1079.0,over skyene er himmelen alltid blå,nob
over stokk og stein,nno,48933.0,over stokk og stein,nob
overgå all forstand,nno,128.0,overgå all forstand,nob
passe på som ein smed,nno,117.0,passe på som en smed,nob
peika i retning av,nno,768.0,peke i retning av,nob
peika på noko,nno,1997.0,peke på noe,nob
pengane eller livet,nno,590.0,pengene eller livet,nob
pengane på bordet,nno,950.0,pengene på bordet,nob
per og Pål,nno,21677.0,per og Pål,nob
perler for svin,nno,18528.0,perler for svin,nob
pisk eller gulrot,nno,750.0,pisk eller gulrot,nob
pisk og gulrot,nno,4396.0,pisk og gulrot,nob
pling i bollen,nno,1576.0,pling i bollen,nob
pokker i vald,nno,175.0,pokker i vold,nob
politikk og pølser,nno,100.0,politikk og pølser,nob
pott og panne,nno,6856.0,pott og panne,nob
prikken over i-en,nno,78663.0,prikken over i-en,nob
prøve på ny frisk,nno,116.0,prøve på ny frisk,nob
på Mose stol,nno,1060.0,på Mose stol,nob
på brei front,nno,3777.0,på bred front,nob
på den kontoen,nno,3212.0,på den kontoen,nob
på eigen kjøl,nno,1119.0,på egen kjøl,nob
på eigne vegner,nno,1865.0,på egne vegne,nob
på ei knivsegg,nno,239.0,på en knivsegg,nob
på ein prikk,nno,3551.0,på en prikk,nob
på eit hår,nno,167.0,på et hår,nob
på fastande hjarte,nno,375.0,på fastende hjerte,nob
på fire hjul,nno,31310.0,på fire hjul,nob
på frukta skal treet kjennast,nno,113.0,på frukten skal treet kjennes,nob
på god fot,nno,42591.0,på god fot,nob
på godt og vondt,nno,187171.0,på godt og ondt,nob
på harde livet,nno,27266.0,på harde livet,nob
på hengande håret,nno,977.0,på hengende håret,nob
på høglys dag,nno,1380.0,på høylys dag,nob
på høgt plan,nno,2409.0,på høyt plan,nob
på køyretøyet skal storfolk kjennast,nno,116.0,på kjøretøyet skal storfolk kjennes,nob
på lik linje med,nno,271714.0,på lik linje med,nob
på livet laus,nno,185611.0,på livet løs,nob
på lykke og fromme,nno,29859.0,på lykke og fromme,nob
på løpande band,nno,4789.0,på løpende bånd,nob
på ny frisk,nno,32056.0,på ny frisk,nob
på nåde og unåde,nno,14479.0,på nåde og unåde,nob
på rett hylle,nno,10545.0,på rett hylle,nob
på rett kjøl,nno,119956.0,på rett kjøl,nob
på seg sjølv kjenner ein andre,nno,451.0,på seg selv kjenner man andre,nob
på seg selv kjenner en andre,nob,143.0,på seg sjølv kjenner ein andre,nno
på stumpane laus,nno,106.0,på stumpene løs,nob
på ståande fot,nno,6887.0,på stående fot,nob
på toppen av,nno,899947.0,på toppen av,nob
på tru og ære,nno,1616.0,på tro og ære,nob
på øvste hylle,nno,1293.0,på øverste hylle,nob
pø om pø,nno,3422.0,pø om pø,nob
rett frå levra,nno,1255.0,rett fra leveren,nob
rett og skil,nno,2638.0,rett og skjell,nob
rett og slett,nno,1739611.0,rett og slett,nob
rett skal vera rett,nno,5038.0,rett skal være rett,nob
rette bakar for smed,nno,904.0,rette baker for smed,nob
ri stormen av,nno,22770.0,ri stormen av,nob
ris til eigen bak,nno,1481.0,ris til egen bak,nob
riset bak spegelen,nno,1270.0,riset bak speilet,nob
riv ruskande gale,nno,2142.0,riv ruskende galt,nob
rive seg i håret,nno,5737.0,rive seg i håret,nob
ro i sjela,nno,4824.0,ro i sjelen,nob
ro seg i land,nno,4969.0,ro seg i land,nob
ropa i munnen på kvarandre,nno,133.0,rope i munnen på hverandre,nob
rota til alt vondt,nno,2608.0,roten til alt ondt,nob
rotta seg saman,nno,683.0,rotte seg sammen,nob
råde bot på,nno,44412.0,råde bot på,nob
saka er biff,nno,159.0,saken er biff,nob
sand i maskineriet,nno,7720.0,sand i maskineriet,nob
sann mine ord,nno,7191.0,sann mine ord,nob
sant for dyden,nno,6334.0,sant for dyden,nob
satsa på feil hest,nno,288.0,satse på feil hest,nob
sjå dagens lys,nno,1958.0,se dagens lys,nob
sjå men ikkje røre,nno,133.0,se men ikke røre,nob
sjå mørkt ut,nno,1156.0,se mørkt ut,nob
sjå sanninga i auga,nno,217.0,se sannheten i øynene,nob
sjå smått ut,nno,127.0,se smått ut,nob
sjå tida an,nno,1534.0,se tiden an,nob
segla sin eigen sjø,nno,792.0,seile sin egen sjø,nob
sekk og oske,nno,665.0,sekk og aske,nob
sekundet ) .,nno,232189.0,sekundet ) .,nob
seint eller aldri,nno,1014.0,sent eller aldri,nob
seint og tidleg,nno,18889.0,sent og tidlig,nob
sett med dagens auge,nno,205.0,sett med dagens øyne,nob
setja alle klutar til,nno,442.0,sette alle kluter til,nob
sette foten ned,nno,21893.0,sette foten ned,nob
setja hardt mot hardt,nno,783.0,sette hardt mot hardt,nob
sette kaffien i halsen,nno,158.0,sette kaffen i halsen,nob
setja kroken på døra,nno,236.0,sette kroken på døra,nob
sette krona på verket,nno,575.0,sette kronen på verket,nob
sette latteren i halsen,nno,164.0,sette latteren i halsen,nob
setja livet til,nno,1035.0,sette livet til,nob
setja seg i respekt,nno,384.0,sette seg i respekt,nob
setja seg på bakbeina,nno,215.0,sette seg på bakbeina,nob
setja seg på skulebenken,nno,395.0,sette seg på skolebenken,nob
sette sinna i kok,nno,567.0,sette sinnene i kok,nob
sette spaden i jorda,nno,8787.0,sette spaden i jorda,nob
sette tinga på plass,nno,226.0,sette tingene på plass,nob
setja tæring etter næring,nno,1513.0,sette tæring etter næring,nob
setja ut i livet,nno,2295.0,sette ut i livet,nob
sikte mot stjernene,nno,504.0,sikte mot stjernene,nob
sine meiningars mot,nno,854.0,sine meningers mot,nob
siste spikaren i kista,nno,395.0,siste spikeren i kisten,nob
sistemann på skansen,nno,368.0,sistemann på skansen,nob
sitja godt i det,nno,103.0,sitte godt i det,nob
sitja i fred og ro,nno,177.0,sitte i fred og ro,nob
sitja med hendene i fanget,nno,1243.0,sitte med hendene i fanget,nob
sitja på gjerdet,nno,750.0,sitte på gjerdet,nob
sitja på trona,nno,156.0,sitte på tronen,nob
selvgjort er velgjort,nob,9017.0,sjølvgjort er velgjort,nno
"skal det vera, så skal det vera",nno,248.0,"skal det være, så skal det være",nob
skalta og valta,nno,1504.0,skalte og valte,nob
skapa seg ei framtid,nno,576.0,skape seg en fremtid,nob
skapa seg eit namn,nno,212.0,skape seg et navn,nob
skikk og bruk,nno,147085.0,skikk og bruk,nob
skilje klinten frå kveiten,nno,179.0,skille klinten fra hveten,nob
skilje mellom godt og vondt,nno,250.0,skille mellom godt og ondt,nob
skit i det,nno,711.0,skit i det,nob
skitt og kanel,nno,2928.0,skitt og kanel,nob
skje saker og ting,nno,7580.0,skje saker og ting,nob
skrape til seg,nno,959.0,skrape til seg,nob
skrekk og gru,nno,36110.0,skrekk og gru,nob
skrifta på veggen,nno,3202.0,skriften på veggen,nob
steg for steg,nno,355052.0,skritt for skritt,nob
skriva seg frå,nno,2637.0,skrive seg fra,nob
skru klokka tilbake,nno,4637.0,skru klokka tilbake,nob
skru seg opp,nno,668.0,skru seg opp,nob
skot for baugen,nno,3208.0,skudd for baugen,nob
skulle i elden,nno,1053.0,skulle i ilden,nob
skyt ikkje på pianisten,nno,115.0,skyt ikke på pianisten,nob
skyta med skarpt,nno,111.0,skyte med skarpt,nob
slag i slag,nno,284115.0,slag i slag,nob
slaget er tapt,nno,17328.0,slaget er tapt,nob
slangen i paradiset,nno,7196.0,slangen i paradiset,nob
slå frå seg,nno,1319.0,slå fra seg,nob
slå inn opne dører,nno,211.0,slå inn åpne dører,nob
slå kloa i,nno,17068.0,slå kloa i,nob
slå kron og mynt,nno,358.0,slå kron og mynt,nob
slå på stortromma,nno,11789.0,slå på stortromma,nob
slå på tråden,nno,64760.0,slå på tråden,nob
slå seg fram,nno,13150.0,slå seg fram,nob
slå seg gul og blå,nno,108.0,slå seg gul og blå,nob
slå seg på brystet,nno,13270.0,slå seg på brystet,nob
slå seg på flaska,nno,267.0,slå seg på flaska,nob
slå seg sjølv på munnen,nno,125.0,slå seg selv på munnen,nob
slå seg til ro,nno,112643.0,slå seg til ro,nob
slå ut i lys lue,nno,2850.0,slå ut i lys lue,nob
slå ut med armane,nno,242.0,slå ut med armene,nob
slå auga ned,nno,184.0,slå øynene ned,nob
smaka sin eigen medisin,nno,186.0,smake sin egen medisin,nob
smi medan jernet er varmt,nno,355.0,smi mens jernet er varmt,nob
smil til verda,nno,154.0,smil til verden,nob
smør på flesk,nno,11142.0,smør på flesk,nob
smørja tjukt på,nno,112.0,smøre tjukt på,nob
snakk for deg sjølv,nno,164.0,snakk for deg selv,nob
snakka godt for seg,nno,154.0,snakke godt for seg,nob
snakka i munnen på kvarandre,nno,490.0,snakke i munnen på hverandre,nob
snakka med seg sjølv,nno,690.0,snakke med seg selv,nob
snakka om laust og fast,nno,361.0,snakke om løst og fast,nob
snakka over seg,nno,357.0,snakke over seg,nob
snakka rett frå levra,nno,138.0,snakke rett fra levra,nob
snakka seg bort,nno,204.0,snakke seg bort,nob
snakka som ein foss,nno,121.0,snakke som en foss,nob
"snipp, snapp, snute",nno,31663.0,"snipp, snapp, snute",nob
snu saka på hovudet,nno,599.0,snu saken på hodet,nob
snu seg i grava,nno,537.0,snu seg i graven,nob
snøen som fait i fjor,nno,2524.0,snøen som fait i fjor,nob
snør og tårer,nno,101.0,snør og tårer,nob
som berre fy,nno,131.0,som bare fy,nob
som ein fisk på land,nno,158.0,som en fisk på land,nob
som ein gullring i eit grisetryne,nno,112.0,som en gullring i et grisetryne,nob
som ein vind,nno,3752.0,som en vind,nob
som eit olja lyn,nno,559.0,som et olja lyn,nob
som eit piska skinn,nno,133.0,som et piska skinn,nob
som fanden les Bibelen,nno,176.0,som fanden leser Bibelen,nob
som fisken i vatnet,nno,1645.0,som fisken i vannet,nob
som fot i hose,nno,15327.0,som fot i hose,nob
som går i to sko,nno,927.0,som går i to sko,nob
som hakka møkk,nno,5543.0,som hakka møkk,nob
som herren så hunden,nob,2220.0,som herren så hunden,nno
som hand i hanske,nno,13999.0,som hånd i hanske,nob
som eld i tørt gras,nno,1108.0,som ild i tørt gress,nob
som julekvelden på kjerringa,nno,23226.0,som julekvelden på kjerringa,nob
som kjeppar i hjul,nno,201.0,som kjepper i hjul,nob
som kjerringa mot straumen,nno,688.0,som kjerringa mot strømmen,nob
som lyn frå klar himmel,nno,1972.0,som lyn fra klar himmel,nob
"som ein sår, skal ein hausta",nno,125.0,"som man sår, skal man høste",nob
som manna frå himmelen,nno,810.0,som manna fra himmelen,nob
som merra den blinde,nno,472.0,som merra den blinde,nob
som plomma i egget,nno,3048.0,som plommen i egget,nob
"som sagt, så gjort",nno,34228.0,"som sagt, så gjort",nob
som seg hør og bør,nno,118514.0,som seg hør og bør,nob
som skrift i sand,nno,1903.0,som skrift i sand,nob
som ved eit under,nno,3026.0,som ved et under,nob
som å skvetta vatn på gåsa,nno,174.0,som å skvette vann på gåsa,nob
sopa inn pengar,nno,150.0,sope inn penger,nob
spara på skillingen og la dalaren gå,nno,164.0,spare på skillingen og la daleren gå,nob
sparka i grusen,nno,153.0,sparke i grusen,nob
spikaren i kista,nno,1649.0,spikeren i kisten,nob
spela ei hovudrolle,nno,493.0,spille en hovedrolle,nob
spela lita rolle,nno,246.0,spille liten rolle,nob
spela med opne kort,nno,723.0,spille med åpne kort,nob
spela på harpe,nno,217.0,spille på harpe,nob
eta kirsebær med dei store,nno,230.0,spise kirsebær med de store,nob
spott og spe,nno,25567.0,spott og spe,nob
spytta i glaset,nno,107.0,spytte i glasset,nob
spytta i nevane,nno,373.0,spytte i nevene,nob
spøk til side,nno,12887.0,spøk til side,nob
spørja seg for,nno,228.0,spørre seg for,nob
stable seg på beina,nno,2212.0,stable seg på beina,nob
stampa mot brodden,nno,304.0,stampe mot brodden,nob
starta med blanke ark,nno,550.0,starte med blanke ark,nob
starta med to tomme hender,nno,329.0,starte med to tomme hender,nob
byrja på ny frisk,nno,100.0,starte på ny frisk,nob
sterk i trua,nno,2646.0,sterk i troen,nob
sterk som Samson,nno,112.0,sterk som Samson,nob
stige i gradene,nno,7533.0,stige i gradene,nob
stikk i strid,nno,198207.0,stikk i strid,nob
stikka fingeren i jorda,nno,752.0,stikke fingeren i jorda,nob
stikka fingeren i jorda,nno,752.0,stikke fingeren i jorden,nob
stikka hovudet i sanden,nno,325.0,stikke hodet i sanden,nob
stikka under stol,nno,628.0,stikke under stol,nob
stille med blanke ark,nno,911.0,stille med blanke ark,nob
stille seg i bresjen for,nno,364.0,stille seg i bresjen for,nob
store ord og feitt flesk,nno,553.0,store ord og fett flesk,nob
storm i eit vassglas,nno,710.0,storm i et vannglass,nob
stramme seg opp,nno,6449.0,stramme seg opp,nob
stride mot all fornuft,nno,260.0,stride mot all fornuft,nob
striskjorta og havrelefsa,nno,3769.0,striskjorta og havrelefsa,nob
stråle som ei sol,nno,132.0,stråle som en sol,nob
styre med jernhand,nno,157.0,styre med jernhånd,nob
styre og stell,nno,173191.0,styre og stell,nob
stå bom fast,nno,621.0,stå bom fast,nob
stå for døra,nno,378.0,stå for døren,nob
stå for tur,nno,9502.0,stå for tur,nob
stå først i køen,nno,2636.0,stå først i køen,nob
stå i Guds hand,nno,412.0,stå i Guds hånd,nob
stå i fyr og flamme,nno,101.0,stå i fyr og flamme,nob
stå med glans,nno,256.0,stå med glans,nob
stå med hendene i lomma,nno,607.0,stå med hendene i lomma,nob
stå med rak rygg,nno,1026.0,stå med rak rygg,nob
stå opp i otta,nno,1586.0,stå opp i otta,nob
stå på dagsordenen,nno,3609.0,stå på dagsordenen,nob
