idiom,language,frequency
gå i vannet,nob,20654
gå i vranglås,nob,1821
gå igjen,nob,111619
gå imot strømmen,nob,833
gå inn i sitt lønnkammer,nob,1003
gå langt og lenger enn langt,nob,110
gå lekende lett,nob,369
gå mann av huse,nob,22573
gå minste motstands vei,nob,334
gå ned på høykant,nob,447
gå nedenom og hjem,nob,5667
gå noen på nervene,nob,117
gå nye veier,nob,42799
gå og slenge,nob,4960
gå opp i limingen,nob,3938
gå opp i røyk,nob,8713
gå over alle grenser,nob,1254
gå over ende,nob,9508
gå over stag,nob,1736
gå på akkord med noe,nob,360
gå på alle fire,nob,1046
gå på autopilot,nob,936
gå på frierføtter,nob,1583
gå på fylla,nob,3310
gå på gress,nob,1642
gå på land,nob,12234
gå på loffen,nob,894
gå på med dødsforakt,nob,456
gå på med krum hals,nob,3888
gå på trynet,nob,6615
gå på tå,nob,4116
gå på vannet,nob,12828
gå rett i dass,nob,667
gå rett i løvens gap,nob,185
gå rett til himmels,nob,937
gå rettens vei,nob,31214
gå seg vill,nob,25809
gå sin seiersgang,nob,3705
gå sin skjeve gang,nob,7165
gå sin vante gang,nob,4296
gå sine egne veier,nob,21637
gå smertefritt,nob,5831
gå som fot i hose,nob,890
gå som på skinner,nob,188
gå som varmt hvetebrød,nob,1654
gå spissrotgang,nob,3919
gå stille i dørene,nob,16354
gå stille i gangene,nob,141
gå tapt,nob,186912
gå til Bloksberg,nob,241
gå til Canossa,nob,481
gå til de evige jaktmarker,nob,112
gå til fots,nob,24549
gå til helvete,nob,9025
gå til ro,nob,13707
gå til scenen,nob,4115
gå til spille,nob,25876
gå til urnene,nob,7590
gå tilbake på noe,nob,1426
gå tomhendt hjem,nob,1479
gå troll i ord,nob,5524
gå under,nob,177301
gå under bordet,nob,258
gå under jorda,nob,4647
gå under åket,nob,582
gå unna,nob,21660
gå ut i hundre,nob,1344
gå ut med noe,nob,5994
gå varmt for seg,nob,1961
gå vilt for seg,nob,1270
"går det, så går det",nob,9968
ha adresse til noen,nob,121
ha alle odds mot seg,nob,165
ha antennene ute,nob,542
ha appell,nob,10582
ha barnetekke,nob,117
ha bange anelser,nob,336
ha begge beina på jorda,nob,684
ha bukten og begge endene,nob,638
ha det avgjørende ord,nob,7963
ha det på g,nob,460
ha det som en greve,nob,132
ha det som fisken i vannet,nob,203
ha det trangt,nob,1801
ha dårlig smak,nob,389
ha dårlige nerver,nob,246
ha en beklemmende følelse,nob,123
ha en bred rygg,nob,107
ha en dårlig dag på jobben,nob,454
ha en dårlig sak,nob,149
ha en engels tålmodighet,nob,358
ha en finger med i spillet,nob,6167
ha en fot i bakken,nob,133
ha en god penn,nob,406
ha en god sak,nob,1163
ha en hånd på rattet,nob,1690
ha en klar hjerne,nob,186
ha en livlig fantasi,nob,353
ha en lys fremtid,nob,344
ha en plass i solen,nob,535
ha en rev bak øret,nob,409
ha en rosenrød fremtid,nob,824
ha en samtale under fire øyne,nob,137
ha en sjette sans,nob,553
ha en skarp tunge,nob,266
ha en skrue løs,nob,1647
ha en skulder å gråte på,nob,121
ha en sterk rygg,nob,320
ha en svart dag,nob,596
ha en vid horisont,nob,139
ha en vilje av stål,nob,124
ha et ess i ermet,nob,198
ha et forhold,nob,18306
ha et godt navn,nob,584
ha et hjerte av stein,nob,923
ha et kaldt hode,nob,108
ha et navn,nob,14574
ha et stort hjerte,nob,590
ha et vinnende vesen,nob,387
ha et åpent sinn,nob,4964
ha fast fisk,nob,164
ha fast følge,nob,1776
ha fast grunn under føttene,nob,1487
ha fingeren på pulsen,nob,181
ha flere bein å stå på,nob,6494
ha frie hender,nob,4814
ha gode dager,nob,2521
ha gode framtidsutsikter,nob,155
ha gode kort på hånda,nob,175
ha gode papirer,nob,105
ha godt ord på seg,nob,356
ha godt sovehjerte,nob,248
ha griseflaks,nob,372
ha hastverk,nob,6544
ha hellet med seg,nob,5397
ha hjertebank,nob,165
ha hjertelag,nob,807
ha hodet med seg,nob,499
ha hodet over vannet,nob,368
ha is i magen,nob,17195
ha kniven på strupen,nob,850
ha kort lunte,nob,397
ha lampefeber,nob,145
ha lang lunte,nob,221
ha lange ører,nob,192
ha lett for det,nob,145
ha livets rett,nob,21001
ha magemål,nob,498
ha magiske evner,nob,400
ha mange jern i ilden,nob,2499
ha mannsmot,nob,176
ha medvind,nob,1067
ha mer inne,nob,1054
ha mer på lager,nob,529
ha mye å fare med,nob,337
ha mye å henge fingrene i,nob,165
ha nerver,nob,4170
ha nerver av stål,nob,970
ha noe for hånden,nob,225
ha noe for seg,nob,34308
ha noe i bakhånd,nob,1675
ha noe i tankene,nob,170
ha noe på lur,nob,494
ha noe på si,nob,141
ha noe å falle tilbake på,nob,4297
ha noe å se fram til,nob,2304
ha noe å skilte med,nob,115
ha noen i ryggen,nob,468
ha næringsvett,nob,180
ha ondt i sinne,nob,468
ha ordet i sin makt,nob,921
ha orkesterplass,nob,600
ha penger mellom hendene,nob,562
ha penger som gress,nob,162
ha plettfri vandel,nob,5604
ha pokerfjes,nob,163
ha primadonnanykker,nob,133
ha rene linjer,nob,1062
ha rent rulleblad,nob,506
ha ro i sjelen,nob,165
ha ryggen fri,nob,6904
ha seieren i lomma,nob,198
ha sett bedre dager,nob,559
ha sett lyset,nob,802
ha sine gode sider,nob,1193
ha sine meningers mot,nob,1517
ha sine sider,nob,1375
ha sitt å stri med,nob,215
ha skamvett,nob,220
ha skarpe kanter,nob,768
ha skumle hensikter,nob,1484
ha skutt gullfuglen,nob,1437
ha skyhøye forventninger,nob,104
ha snakketøyet i orden,nob,301
ha sommerfugler i magen,nob,630
ha sovet i timen,nob,1605
ha spisse albuer,nob,860
ha sterk rygg,nob,806
ha sterke nerver,nob,712
ha stor rekkevidde,nob,236
ha stor takhøyde,nob,763
ha store ører,nob,275
ha stålkontroll,nob,1247
ha støv på hjernen,nob,365
ha svar på rede hånd,nob,487
ha teft,nob,2618
ha tiden for seg,nob,294
ha trange kår,nob,378
ha trådt sine barnesko,nob,267
ha utstråling,nob,565
ha vettet i behold,nob,111
ha værgudene med seg,nob,235
hadde jeg nesten sagt,nob,854
hakk i plata,nob,6403
hal i og dra,nob,2801
hale innpå,nob,3551
halvparten kunne vært nok,nob,145
hamre løs,nob,14084
han ba om det,nob,3555
han er ikke født i går,nob,104
han fikk høre det,nob,3616
han kan få sagt det,nob,1005
handel og vandel,nob,40989
handle i god tro,nob,901
handle på bok,nob,791
handle på svartebørs,nob,182
"har du klave, får du ku",nob,342
hard valuta,nob,33148
harve over,nob,751
hastverk er lastverk,nob,8687
havets sølv,nob,13180
havne i rennesteinen,nob,280
havne midt i smørøyet,nob,145
havne på galeien,nob,126
hei sveis,nob,4535
heise hvitt flagg,nob,407
hekte seg på,nob,3824
hele dagen til ende,nob,1338
hele kostebinderiet,nob,3273
hele suppa,nob,1740
helle kaldt vann i blodet,nob,2078
helle malurt i begeret,nob,1097
helle olje på bølgene,nob,103
helt pyton,nob,3437
helvete heller,nob,17843
henge bjella på katten,nob,1694
henge i klokkestrengen,nob,2068
henge i stroppen,nob,3260
henge med hodet,nob,25342
henge med leppa,nob,781
henge med noen,nob,568
henge seg opp i noe,nob,282
henge seg på noen,nob,238
hensikten helliger midlet,nob,10842
her er det ingen slinger i valsen,nob,145
her er det noe muffens,nob,533
her er det ugler i mosen,nob,740
her er gode råd dyre,nob,612
her er ikke noe overlatt til tilfeldighetene,nob,147
her hjelper ingen kjære mor,nob,233
her i steinrøysa,nob,1046
her og der,nob,534562
hevde seg,nob,421292
heve lista,nob,490
heve pekefingeren,nob,1917
heve sin røst,nob,2286
heve taffelet,nob,359
heve øyenbrynene,nob,6132
hevnen er søt,nob,21091
hevnens time er kommet,nob,344
himmel og hav,nob,50502
hissig på grøten,nob,1313
historien gjentar seg,nob,25949
hit og dit,nob,162144
hjemmets fire vegger,nob,16872
hjemmets lune rede,nob,2842
hogge knuten over,nob,273
hogge ned for fote,nob,220
hold deg fast,nob,16238
hold frem som du stevner,nob,1291
holde av noen,nob,796
holde beina på jorda,nob,1686
holde et svare leven,nob,269
holde gode miner,nob,4250
holde hodet kaldt,nob,48860
holde i hevd,nob,9596
holde i sjakk,nob,5174
holde koken,nob,14715
holde krigsråd,nob,668
holde kruttet tørt,nob,2401
holde liv i håpet,nob,1912
holde nervene i ro,nob,243
holde noe for seg selv,nob,203
holde noe hellig,nob,100
holde noen for narr,nob,221
holde noen i hånden,nob,463
holde noen med selskap,nob,118
holde noen nede,nob,144
holde opp mens leken er god,nob,114
holde på formene,nob,1593
holde på sitt,nob,7880
holde på å,nob,18095
holde sammen i tykt og tynt,nob,725
holde seg,nob,1453821
holde seg for nesen,nob,1810
holde seg for ørene,nob,3688
holde seg frempå,nob,410
holde seg i bakgrunnen,nob,8709
holde seg i skinnet,nob,9467
holde seg oven vanne,nob,417
holde seg på det jevne,nob,207
holde seg på matta,nob,5316
holde sin sti ren,nob,6944
holde skansen,nob,4245
holde stand,nob,59537
holde stikk,nob,52722
holde tann for tunge,nob,4184
holde tett,nob,45684
holde tråden,nob,5156
holde vann,nob,4501
holde været,nob,382
holde åpent hus,nob,4131
holde ørene stive,nob,1695
holde øyne og ører åpne,nob,2791
holde øynene åpne,nob,19084
hoppe av,nob,86274
hoppe av i svingen,nob,609
hoppe av karusellen,nob,1839
hoppe bukk,nob,17518
hoppe inn,nob,26581
hoppe over der gjerdet er lavest,nob,127
hoppe over noe,nob,1382
hoppe paradis,nob,6821
hoppe på noe,nob,562
hoste opp noe,nob,575
hovmod står for fall,nob,6262
huff da,nob,15401
hummer og kanari,nob,20004
humpe og gå,nob,761
hun er ingen hvem som helst,nob,292
hundre og ett er ute,nob,490
hva behager,nob,17409
hva byr du meg,nob,510
hva er det for en tone,nob,253
hva er det som står på,nob,6620
"hva hjertet er fullt av, løper munnen over med",nob,228
"hva kom først, høna eller egget",nob,899
hva skal det være godt for,nob,8035
hvem vet,nob,314155
hver evige dag,nob,4975
hver fugl synger med sitt nebb,nob,724
hver sin smak,nob,5914
hver smitt og smule,nob,7061
hverken det ene eller det andre,nob,9567
hverken fugl eller fisk,nob,8396
hverken før eller siden,nob,15020
hverken på land eller sjø,nob,1422
hvil i fred,nob,102526
hvile på årene,nob,949
hvis jeg var i dine sko,nob,361
hviske og tiske,nob,2373
hvite flekker på kartet,nob,2726
hvor det er vilje er det vei,nob,320
"hvor intet er, har keiseren tapt sin rett",nob,364
hvor slaget skal stå,nob,217
hvorom allting er,nob,33530
håp i hengende snøre,nob,4141
håpet er lysegrønt,nob,2898
høre englene synge,nob,353
høre hjemme,nob,44772
høre innom,nob,1122
høre til dagens orden,nob,2771
høre til sjeldenhetene,nob,3111
høste laurbær,nob,2232
høyt henger de og sure er de,nob,2456
høyt og lavt,nob,88047
i adamsdrakt,nob,289
i all beskjedenhet,nob,54738
i alle regnbuens farger,nob,33154
i angst og beven,nob,1900
i annen rekke,nob,122557
i bare nettoen,nob,654
i beit,nob,96640
i bokstavelig forstand,nob,42328
i bøttevis,nob,10492
i dag,nob,4047585
i daglig tale,nob,37675
i de rette hender,nob,11298
i den ellevte time,nob,13752
i den rette ånd,nob,3140
i det aller helligste,nob,12958
i det blå,nob,229023
i det lange løp,nob,314073
i det skjulte,nob,106602
i det små,nob,144269
i det stille,nob,179232
i det uendelige,nob,191577
i disse ulvetider,nob,6358
i djevelens skinn og bein,nob,144
i dobbelt forstand,nob,72229
i dusinvis,nob,32711
i dødvanne,nob,8892
i egne øyne,nob,28415
i en snarvending,nob,5635
i ett jafs,nob,7205
i evadrakt,nob,306
i flokk og følge,nob,36519
i full krigsmaling,nob,2688
i full mundur,nob,14177
i første hånd,nob,10413
i første instans,nob,22832
i første omgang,nob,1615776
i første rekke,nob,1569632
i gamle dager,nob,549821
i god tid,nob,954463
i grus,nob,182196
i hine hårde dager,nob,5797
i hjemmets lune rede,nob,1201
i hui og hast,nob,58617
i hurten og sturten,nob,2332
i hytt og vær,nob,38053
i kampens hete,nob,71754
i klartekst,nob,114212
i langsom kino,nob,9051
i lengden,nob,401096
i ly av,nob,168823
i løse luften,nob,42829
i min bok,nob,18543
i min tid,nob,95840
i moden alder,nob,32050
i motsetning til,nob,1119891
i ny og ne,nob,120857
i nøden spiser fanden fluer,nob,1136
i og for seg,nob,466213
i overskuelig fremtid,nob,59692
i parentes bemerket,nob,40838
i rad,nob,93578
i ro og mak,nob,129567
i sammenligning med,nob,125161
i sin beste alder,nob,66185
i sin handel og vandel,nob,291
i sin tur,nob,258499
i sinn og skinn,nob,16918
i siste instans,nob,143093
i siste sekund,nob,48112
i sju lange og sju brede,nob,560
i skrift og tale,nob,55579
i slag,nob,398652
i smult vann,nob,3526
i sneglefart,nob,10750
i storm og stille,nob,20594
i stramme tøyler,nob,5955
i stumper og stykker,nob,17110
i sus og dus,nob,28672
i tidens løp,nob,107742
i tolvte time,nob,34145
i tukt og ære,nob,1591
i ungdommens vår,nob,3881
i vigør,nob,26834
i åndeløs spenning,nob,11731
i årenes løp,nob,357655
i øyeblikket,nob,814719
igjen og igjen,nob,189539
ikke bli klokere,nob,277
ikke bli til noe,nob,1345
ikke en sky på himmelen,nob,4347
ikke et sekund for tidlig,nob,2086
ikke fatte og begripe,nob,6509
ikke finne seg i noe,nob,763
ikke flisa,nob,1405
ikke friste skjebnen,nob,616
ikke få frem et ord,nob,1873
ikke gi en lyd fra seg,nob,161
ikke gi lyd fra seg,nob,462
ikke gjøre noe fra eller til,nob,6394
ikke gjøre regning med noe,nob,243
ikke greie å holde seg,nob,152
ikke gråte over spilt melk,nob,856
ikke gå av veien for,nob,2823
ikke gå i spann,nob,109
ikke ha den fjerneste anelse,nob,257
ikke ha noe for seg,nob,746
ikke ha peiling,nob,817
ikke holde mål,nob,2296
ikke kom her,nob,3482
ikke koste all verden,nob,4165
ikke kunne kjøpes for penger,nob,350
ikke kunne sammenlignes med,nob,2847
ikke kunne se skogen for bare trær,nob,109
ikke kunne si nei,nob,12300
ikke la seg knekke,nob,1805
ikke la sjansen gå fra seg,nob,1544
ikke legge noe imellom,nob,146
ikke lide noen nød,nob,2591
ikke ligge noen til last,nob,118
ikke ligge på latsiden,nob,2622
ikke løfte en finger,nob,3398
ikke med lett hjerte,nob,13270
ikke mæle et ord,nob,492
ikke noe knussel,nob,1496
ikke nøle et sekund,nob,688
ikke om det gjaldt livet,nob,444
ikke overlate noe til tilfeldighetene,nob,1100
ikke på vilkår,nob,5023
ikke røre en finger,nob,2144
ikke se skogen for bare trær,nob,1017
ikke seige skinnet før bjørnen er skutt,nob,1117
ikke sitte med hendene i fanget,nob,5394
ikke snakke samme språk,nob,117
ikke spille noen rolle,nob,15836
ikke stikke seg frem,nob,499
ikke stikke så dypt,nob,128
ikke strekke seg lenger enn skinnfellen rekker,nob,560
ikke stå i menneskelig makt,nob,102
ikke ta den tonen,nob,1218
ikke ta i sin munn,nob,205
ikke ta sorgene på forskudd,nob,4190
ikke tale om,nob,349000
ikke til dags dato,nob,2380
ikke tro på julenissen,nob,249
ikke tåle dagens lys,nob,112
ikke ueffen,nob,18603
ikke utfordre skjebnen,nob,2157
ikke verdens undergang,nob,5453
ikke ville rikke seg,nob,704
ikke ville vite av noe,nob,711
ikke vite sin arme råd,nob,219
ikke være all verden,nob,876
ikke være bryet verdt,nob,181
ikke være for mye sagt,nob,140
ikke være god tone,nob,140
ikke være helt av veien,nob,118
ikke være helt god,nob,249
ikke være mye å skryte av,nob,126
ikke være noe å snakke om,nob,304
ikke være noen bombe,nob,593
ikke være noen kunst,nob,759
ikke være noen spøk,nob,348
ikke være nådig,nob,662
ikke være på talefot,nob,106
ikke være riktig vel bevart,nob,660
ikke være skråsikker,nob,608
ikke være vel bevart,nob,454
ilden er løs,nob,987
ingen kan tjene to herrer,nob,6054
ingen kjære mor,nob,20019
"ingen nevnt, ingen glemt",nob,9704
ingen røyk uten ild,nob,5520
ingen slinger i valsen,nob,5060
ingen verdens ting,nob,59249
ingen vet hvor haren hopper,nob,2949
ingen årsak,nob,17613
intet svar er også et svar,nob,859
"ja, bevares",nob,13356
"ja, det skal jeg hilse og si",nob,1381
"ja, er du gal",nob,1315
"ja, si det",nob,18771
ja takk,nob,307871
jeg for min del,nob,189464
jeg har ikke ord,nob,11417
jeg har ikke peiling,nob,12227
jeg har tenkt tanken,nob,2250
jeg kan ikke få sagt hvor,nob,4759
jeg kan styre min begeistring,nob,1510
jeg kjente det på meg,nob,900
jeg klør i fingrene etter å,nob,629
jeg kunne ha sverget på at,nob,2337
jeg kunne ikke drømme om,nob,1258
jeg ler meg i hjel,nob,785
jeg skal slå deg flat,nob,103
jeg skal vedde på at,nob,22932
jeg tar meg den frihet å,nob,1672
jeg trodde ikke mine egne øyne,nob,5500
jeg trodde min siste time var kommet,nob,1167
jeg tror jeg dåner,nob,253
jevnt og trutt,nob,182587
"jo, så menn",nob,3765
"jo før, jo heller",nob,70835
jon Blund,nob,8479
jordisk gods,nob,20970
jubelen står i taket,nob,2321
juvelen i krona,nob,672
jøye seg,nob,112
kan du fatte og begripe,nob,1083
kari Nordmann,nob,15917
kaste anker,nob,11302
kaste blår i øynene på noen,nob,166
kaste gode penger etter dårlige,nob,975
kaste kortene,nob,10625
kaste lodd,nob,1730
kaste lys over noe,nob,536
kaste med nakken,nob,338
kaste over bord,nob,3027
kaste perler for svin,nob,3696
kaste seg på bølgen,nob,595
kaste seg på karusellen,nob,560
kaste seg på sjøen,nob,381
kaste stein når man sitter i glasshus,nob,598
kaste vrak på noe,nob,247
keiserens nye klær,nob,29222
kirsten Giftekniv,nob,16953
kjefte og smelle,nob,1969
kjempe for en god sak,nob,505
kjempe mann mot mann,nob,693
kjempe mot naturkreftene,nob,534
kjempe mot overmakten,nob,1065
kjempe mot vindmøller,nob,1110
kjempe på vikende front,nob,275
kjempe skulder ved skulder,nob,1163
kjempe til siste blodsdråpe,nob,1492
kjenne lusa på gangen,nob,716
kjenne sine pappenheimere,nob,435
kjente strofer,nob,1463
kjerringa mot strømmen,nob,21252
kjærlighet gjør blind,nob,6243
kjært barn har mange navn,nob,19549
kjødet er skrøpelig,nob,2933
kjøpe i løs vekt,nob,164
kjøre av sporet,nob,181
kjøre over noen,nob,595
kjøre sitt eget løp,nob,7004
kjøre som en villmann,nob,266
kjøtt og blod,nob,85582
klage sin nød,nob,6443
klappe til kai,nob,2713
klare brasene,nob,20003
klare det kunststykket å,nob,114
klin kokos,nob,8082
klokka er fem på tolv,nob,924
klore til seg,nob,1580
klø seg bak øret,nob,426
kneise med nakken,nob,984
knekke koden,nob,8382
knekke sammen av latter,nob,1007
knipe igjen det ene øyet,nob,139
knuse noen,nob,4359
knytte nevene,nob,5304
knytte vennskapsbånd,nob,3810
koble inn turboen,nob,100
koke bort i kålen,nob,1708
komme an på,nob,8151
komme fra asken til ilden,nob,921
komme fra fjern og nær,nob,228
komme fra hjertet,nob,2135
komme frem i verden,nob,3596
komme fykende,nob,933
komme først til mølla,nob,944
komme gjennom nåløyet,nob,6209
komme godt med,nob,112433
komme hva som komme vil,nob,796
komme i annen rekke,nob,27064
komme i bakleksa,nob,2156
komme i betraktning,nob,276255
komme i de rette hender,nob,592
komme i flokk og følge,nob,580
komme i fullt firsprang,nob,165
komme i første rekke,nob,22924
komme i gapestokken,nob,490
komme i harnisk,nob,1347
komme i ilden,nob,808
komme i kasjotten,nob,176
komme i kattepine,nob,138
komme i rampelyset,nob,2473
komme i skammekroken,nob,127
komme i skuddet,nob,1929
komme i skuddlinjen,nob,1352
komme i snakk med noen,nob,340
komme i stemning,nob,4237
komme i ulykka,nob,217
komme inn fra høyre,nob,190
komme inn i bildet,nob,55543
komme inn i en negativ spiral,nob,162
komme inn i en ond sirkel,nob,2042
komme inn på arenaen,nob,341
komme mellom barken og veden,nob,388
komme ned på beina,nob,1819
komme noen i forkjøpet,nob,121
komme noen i møte,nob,125
komme opp,nob,910529
komme opp i et uføre,nob,451
komme opp i noe,nob,2962
komme over noe,nob,3698
komme på banen,nob,55200
komme på beina,nob,4550
komme på knærne,nob,251
komme på pallen,nob,9538
komme på vingene,nob,3322
komme seg avgårde,nob,5635
komme seg opp av dynene,nob,155
komme seg opp og frem,nob,2054
komme som bestilt,nob,295
komme som en reddende engel,nob,195
komme som et skudd,nob,607
komme som julekvelden på kjerringa,nob,1545
komme som lyn fra klar himmel,nob,1692
komme som manna fra himmelen,nob,297
komme til bunns i noe,nob,403
komme til dekket bord,nob,4490
komme til fornuft,nob,7710
komme til krefter,nob,14642
komme til orde,nob,96398
komme til sans og samling,nob,2730
komme til skjells år og alder,nob,201
komme til syne,nob,45474
komme tomhendt hjem,nob,1295
komme under ett tak,nob,283
komme under kniven,nob,210
komme under tøffelen,nob,103
komme unna med noe,nob,141
komme ut av det blå,nob,104
komme ut av et uføre,nob,144
komme ut av skapet,nob,6922
komme ut på dypt vann,nob,380
komme ut å kjøre,nob,2782
komme vel med,nob,30739
"kommer tid, kommer råd",nob,6221
konfirmere noen,nob,104
kong Alkohol,nob,15665
kort og godt,nob,515739
koste en formue,nob,7283
koste på,nob,104120
koste skjorta,nob,3543
krake søker make,nob,5294
kreti og pleti,nob,12627
kronen på verket,nob,55746
krones med hell,nob,8575
krumme et hår på noens hode,nob,152
kunne erte på seg en stein,nob,106
kunne mer enn sitt fadervår,nob,1717
kunne noe på fingrene,nob,134
kunne senke skuldrene,nob,2668
kunne sine ting,nob,12330
kunne telles på en hånd,nob,705
kunne velge fra øverste hylle,nob,294
kunne velge og vrake,nob,9227
kunne vente seg,nob,31023
kunnskap er makt,nob,19064
kutte navlestrengen,nob,1486
kvele noe i fødselen,nob,102
kvesse pennen,nob,411
kvinnens eldste yrke,nob,149
kysse og kline,nob,347
kysten er klar,nob,5868
la det skure og gå,nob,3422
la det være sagt,nob,84971
la gå,nob,160554
la handling følge ord,nob,1250
la humla suse,nob,8058
la noe ligge,nob,892
la seg forevige,nob,1104
la seg pille på nesen,nob,677
la seg vippe av pinnen,nob,1736
la tvilen komme tiltalte til gode,nob,1421
la vente på seg,nob,12775
lade batteriene,nob,16246
lage et forsvinningsnummer,nob,183
lage gull av gråstein,nob,1179
lage ris til egen bak,nob,1686
lage spetakkel,nob,2788
lage spillopper,nob,406
lakke og li,nob,869
late vannet,nob,13056
legge ansiktet i de rette folder,nob,387
legge beslag på noe,nob,640
legge beslag på noen,nob,616
legge bredsiden til,nob,1824
legge bånd på seg,nob,8493
legge en slagplan,nob,4082
legge godviljen til,nob,14117
legge gullegget,nob,305
legge hendene i fanget,nob,1546
legge hodet i bløt,nob,1358
legge hodet på blokken,nob,1093
legge kortene på bordet,nob,16148
legge lista lavt,nob,447
legge ned pennen,nob,567
legge ned vandringsstaven,nob,480
legge noe bak seg,nob,525
legge noe på bordet,nob,124
legge noe på is,nob,156
legge noe til side,nob,2884
legge om kursen,nob,15158
legge om roret,nob,413
legge pengene på bordet,nob,1542
legge saken død,nob,2320
legge sammen to og to,nob,6483
legge seg etter noen,nob,103
legge seg flat,nob,11580
legge seg i selen,nob,9508
legge stein på stein,nob,1951
legge stein til byrden,nob,4686
legge ut i det vide og det brede,nob,325
legge vinn på,nob,9245
leke katt og mus,nob,2622
leke med døden,nob,906
leke med ilden,nob,6414
lekke som en sil,nob,502
lese mellom linjene,nob,15996
lete etter en nål i en høystakk,nob,2722
lete etter ordene,nob,1636
lett om hjertet,nob,5264
lette på lokket,nob,1453
lette på sløret,nob,6465
lette på trykket,nob,7233
lette sin samvittighet,nob,3665
leve et slaraffenliv,nob,208
leve fra hånd til munn,nob,2804
leve herrens glade dager,nob,1903
leve i en koffert,nob,131
leve i håpet,nob,11408
leve i sus og dus,nob,2468
leve i trange kår,nob,351
leve opp til noe,nob,823
leve over evne,nob,6684
leve på en livsløgn,nob,324
leve på krita,nob,182
leve på lånt tid,nob,300
leve på skyggesiden,nob,314
leve på stor fot,nob,706
leve sammen,nob,159002
leve som en greve,nob,876
leve som hund og katt,nob,398
levere varene,nob,15707
lide av stormannsgalskap,nob,159
lide en ublid skjebne,nob,127
lide nederlag,nob,17736
ligge bak,nob,44136
ligge et hakk over,nob,262
ligge frempå,nob,629
ligge hulter til bulter,nob,467
ligge i luften,nob,2314
ligge i løypa,nob,229
ligge i sin grav,nob,347
ligge lavt,nob,30026
ligge lavt i terrenget,nob,8004
ligge med noen,nob,2783
ligge paddeflat,nob,246
ligge på det siste,nob,233
ligge på hjul,nob,1438
ligge på is,nob,2142
ligge snublende nær,nob,2671
ligge til sengs,nob,7054
ligge tynt an,nob,1547
ligge under torva,nob,129
ligne til forveksling,nob,117
like barn leker best,nob,14988
like for like,nob,11737
like om hjørnet,nob,75284
likhet for loven,nob,47435
lire av seg noe,nob,528
lite eller ingenting,nob,90199
litt etter litt,nob,229979
liv og lemmer,nob,45703
lodde stemningen,nob,21293
loddet er kastet,nob,4197
loppe noen,nob,113
love bot og bedring,nob,2183
lovens ånd og lovens bokstav,nob,114
lufte noe,nob,331
luke bort noe,nob,113
lukke seg inne,nob,5799
lukke seg inne i seg selv,nob,231
lukke øynene for noe,nob,313
lukte seg fram,nob,3869
lure i kulissene,nob,144
lure noen trill rundt,nob,112
lykken står den kjekke bi,nob,2125
lykkens pamfilius,nob,3984
lynet slår ned,nob,8164
lytte med et halvt øre,nob,273
lytte til fornuftens stemme,nob,273
lytte til sin indre stemme,nob,463
lytte ved dørene,nob,1559
lære i livets skole,nob,619
løfte i flokk,nob,28141
løfte pekefingeren,nob,1941
løfte seg,nob,45407
løfte seg selv etter håret,nob,1092
løfte øyenbrynene,nob,550
løpe beina av seg,nob,496
løpe fra sin egen skygge,nob,245
løpe i vann,nob,11542
løpe linen ut,nob,6064
løse den gordiske knute,nob,497
løse floken,nob,14678
løst krutt,nob,2856
løst snakk,nob,11685
løvens gap,nob,8649
løvens huie,nob,19514
løvens klo,nob,425
mager kost,nob,8648
maktens tinde,nob,9294
male med bred pensel,nob,585
male som en katt,nob,734
malurt i begeret,nob,17619
man må lide for skjønnheten,nob,525
man må regne med litt svinn,nob,113
man skal aldri si aldri,nob,7949
man skal ikke skue hunden på hårene,nob,1610
man skal ikke ta sorgene på forskudd,nob,168
man skal ikke tro alt man hører,nob,207
man tager hva man haver,nob,3076
"man vet hva man har, men ikke hva man får",nob,2104
mang en god dag,nob,226
mange bekker små gjør en stor å,nob,6371
mangle gangsyn,nob,119
mangle ryggrad,nob,146
mann og mus,nob,17698
mannen i huset,nob,37527
mannen med hoven,nob,382
mannen med ljåen,nob,10824
mannen på gaten,nob,3329
mannen på gulvet,nob,3038
mat for guder,nob,257
mate krabbene,nob,851
med andre ord,nob,1881322
med bevende hjerte,nob,1631
med bind for øynene,nob,27106
med blandede følelser,nob,44259
med bravur,nob,24675
med bred penn,nob,8375
med bristende hjerte,nob,164
med det blotte øye,nob,25785
med djevelens vold og makt,nob,152
med dødsforakt,nob,14355
med et pennestrøk,nob,29378
med et smil om munnen,nob,28282
med fanen høyt hevet,nob,207
med fare for liv og lemmer,nob,1687
med fasit i hånd,nob,1574
med full musikk,nob,5605
med glimt i øyet,nob,70262
med gråten i halsen,nob,13217
med gråtkvalt stemme,nob,6785
med hevet hode,nob,15926
med hjertet i halsen,nob,37080
med hodet under armen,nob,5519
med kaldt blod,nob,27655
med kattemyke bevegelser,nob,136
med list og lempe,nob,6530
med loven i hånd,nob,20227
med nennsom hånd,nob,5042
med nød og neppe,nob,114915
med ondt skal ondt fordrives,nob,1612
med ordet i sin makt,nob,1475
med rakettfart,nob,4091
med rund hånd,nob,8235
med sjumilsstøvler,nob,1878
med skam å melde,nob,4411
med skrått blikk,nob,1232
med venstre hånd,nob,27776
med våpen i hånd,nob,22433
med åpne armer,nob,106361
med åpne øyne,nob,56382
med æren i behold,nob,21026
meg her,nob,187549
